Date,AveragePrice,Total Volume (Millions)
2015-01-04,0.93,5.7773349000000005
2015-01-11,0.92,6.024932339999999
2015-01-18,1.02,5.57091526
2015-01-25,1.06,4.92988426
2015-02-01,0.85,9.03218067
2015-02-08,0.91,5.87122458
2015-02-15,0.96,5.69994493
2015-02-22,0.96,5.95187132
2015-03-01,0.84,6.70013425
2015-03-08,0.96,5.9902438899999995
2015-03-15,1.06,5.55716311
2015-03-22,1.06,5.571812769999999
2015-03-29,1.1,5.34182167
2015-04-05,1.12,5.46715555
2015-04-12,1.06,5.63664451
2015-04-19,1.05,5.87108081
2015-04-26,1.15,4.92356504
2015-05-03,0.88,8.56753449
2015-05-10,0.93,6.65035796
2015-05-17,1.08,5.2891385
2015-05-24,1.1,5.621713639999999
2015-05-31,0.98,6.23690331
2015-06-07,0.98,6.3748429
2015-06-14,0.97,6.74166231
2015-06-21,1.07,5.95259729
2015-06-28,1.1,5.64174202
2015-07-05,1.12,6.71801183
2015-07-12,1.13,5.45163692
2015-07-19,1.18,5.22520052
2015-07-26,1.13,5.55761627
2015-08-02,1.16,5.42823887
2015-08-09,1.1,6.232081269999999
2015-08-16,1.11,5.61643408
2015-08-23,1.18,5.193221
2015-08-30,1.08,5.647385150000001
2015-09-06,1.09,5.80639278
2015-09-13,1.13,5.10650812
2015-09-20,1.14,4.75979113
2015-09-27,1.04,5.21678463
2015-10-04,1.02,4.94378129
2015-10-11,1.08,5.06330938
2015-10-18,1.07,4.99903179
2015-10-25,1.12,4.59246181
2015-11-01,0.95,5.83042796
2015-11-08,0.98,5.14898351
2015-11-15,0.83,5.75519069
2015-11-22,0.92,4.80427816
2015-11-29,0.91,4.57571062
2015-12-06,0.78,5.77553627
2015-12-13,0.87,5.2593543
2015-12-20,0.94,4.69573721
2015-12-27,0.9,5.040365469999999
2016-01-03,0.73,7.73043128
2016-01-10,0.87,6.30340682
2016-01-17,0.9,6.00001323
2016-01-24,0.88,6.24638073
2016-01-31,0.88,6.50667396
2016-02-07,0.7,10.36169817
2016-02-14,0.82,6.80728315
2016-02-21,0.89,6.37401903
2016-02-28,0.89,6.5882777
2016-03-06,0.92,6.429870230000001
2016-03-13,0.96,6.01756388
2016-03-20,0.91,6.47620654
2016-03-27,0.93,6.60370793
2016-04-03,0.93,6.06084376
2016-04-10,0.94,6.50900056
2016-04-17,0.93,6.397813480000001
2016-04-24,0.84,6.9333824
2016-05-01,0.75,7.66148337
2016-05-08,0.79,7.80846174
2016-05-15,0.97,6.06887271
2016-05-22,0.9,6.50198108
2016-05-29,0.98,6.70098644
2016-06-05,0.94,7.365675309999999
2016-06-12,1.01,6.50623486
2016-06-19,1.06,6.52805618
2016-06-26,1.03,6.40727749
2016-07-03,1.1,7.08745516
2016-07-10,1.08,6.72169088
2016-07-17,1.14,6.20061368
2016-07-24,1.2,6.10404738
2016-07-31,1.22,5.94716029
2016-08-07,1.17,6.14482751
2016-08-14,1.07,6.53833589
2016-08-21,1.05,6.3080003399999995
2016-08-28,0.99,6.69630005
2016-09-04,1.08,6.68164614
2016-09-11,1.12,6.05976451
2016-09-18,1.22,5.47156528
2016-09-25,1.15,6.07558868
2016-10-02,1.19,5.652496309999999
2016-10-09,1.34,5.3759785
2016-10-16,1.4,4.87803764
2016-10-23,1.39,3.8990406600000003
2016-10-30,1.68,3.1398335
2016-11-06,1.68,3.39505842
2016-11-13,1.48,3.8481282
2016-11-20,1.32,4.253815589999999
2016-11-27,1.21,4.18590067
2016-12-04,0.98,5.0629525300000005
2016-12-11,0.9,5.5266461200000006
2016-12-18,0.95,4.92262154
2016-12-25,0.94,5.41493746
2017-01-01,0.89,7.17527666
2017-01-08,1.0,6.65304821
2017-01-15,0.93,6.65655436
2017-01-22,0.76,8.15334048
2017-01-29,0.76,8.05548207
2017-02-05,0.67,11.21359629
2017-02-12,0.79,6.8621766399999995
2017-02-19,0.95,6.19436866
2017-02-26,0.95,6.34208992
2017-03-05,1.15,5.6341500700000005
2017-03-12,1.31,5.20810186
2017-03-19,1.31,5.32895801
2017-03-26,1.33,5.07307091
2017-04-02,1.22,5.71981106
2017-04-09,1.13,6.2491829800000005
2017-04-16,1.34,5.442086440000001
2017-04-23,1.26,5.63729978
2017-04-30,1.25,5.8896692
2017-05-07,1.08,7.87220323
2017-05-14,1.17,6.3706223
2017-05-21,1.35,5.59900303
2017-05-28,1.32,6.16075192
2017-06-04,1.2,6.50709357
2017-06-11,1.22,6.17721624
2017-06-18,1.2,6.59904885
2017-06-25,1.15,6.99925587
2017-07-02,1.28,6.60729261
2017-07-09,1.28,6.49966848
2017-07-16,1.49,5.40519035
2017-07-23,1.46,5.1884831
2017-07-30,1.38,5.57100096
2017-08-06,1.36,5.65595505
2017-08-13,1.26,5.862368389999999
2017-08-20,1.64,4.52497468
2017-08-27,1.78,4.36001367
2017-09-03,1.65,4.64871822
2017-09-10,1.71,4.3806571299999995
2017-09-17,1.72,4.16753138
2017-09-24,1.74,3.9370006699999998
2017-10-01,1.77,3.87063316
2017-10-08,1.74,4.15144441
2017-10-15,1.68,4.06664098
2017-10-22,1.53,4.4208774
2017-10-29,1.2,5.71467689
2017-11-05,1.15,5.6634385300000005
2017-11-12,1.15,5.637795
2017-11-19,1.26,4.782021
2017-11-26,1.3,4.39281
2017-12-03,1.09,5.544556
2017-12-10,1.06,5.71571221
2017-12-17,0.98,6.20521105
2017-12-24,1.13,5.34653557
2017-12-31,0.93,7.132711230000001
2018-01-07,1.19,5.75663236
2018-01-14,1.27,5.92701673
2018-01-21,1.12,6.61001064
2018-01-28,1.16,6.13404058
2018-02-04,0.8,10.89467777
2018-02-11,0.98,6.7183581
2018-02-18,1.1,6.37921983
2018-02-25,1.03,6.75036146
2018-03-04,1.13,6.29552961
2018-03-11,1.11,6.48860543
2018-03-18,1.02,6.80208411
2018-03-25,1.04,6.687009440000001
